data,ano,mes_numero,dia_semana,dia_semana_numero,fim_semana,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022-01-18,2022,1,terça-feira,2,False,RJ,Sudeste,15,3,1,2,14,0.2
2022-01-18,2022,1,terça-feira,2,False,RN,Nordeste,2,0,0,0,1,0.0
2022-01-18,2022,1,terça-feira,2,False,RO,Norte,2,2,0,2,3,1.0
2022-01-18,2022,1,terça-feira,2,False,RR,Norte,1,1,0,2,2,1.0
2022-01-18,2022,1,terça-feira,2,False,RS,Sul,13,2,0,2,22,0.153846
2022-01-18,2022,1,terça-feira,2,False,SC,Sul,12,2,0,3,18,0.166667
2022-01-18,2022,1,terça-feira,2,False,SE,Nordeste,1,1,2,2,10,1.0
2022-01-18,2022,1,terça-feira,2,False,SP,Sudeste,16,3,1,2,17,0.1875
2022-01-18,2022,1,terça-feira,2,False,TO,Norte,2,0,0,0,2,0.0
2022-01-19,2022,1,quarta-feira,3,False,AL,Nordeste,2,2,0,2,5,1.0
2022-01-19,2022,1,quarta-feira,3,False,BA,Nordeste,11,6,1,9,18,0.545455
2022-01-19,2022,1,quarta-feira,3,False,CE,Nordeste,5,1,0,1,7,0.2
2022-01-19,2022,1,quarta-feira,3,False,DF,Centro-Oeste,1,0,0,0,0,0.0
2022-01-19,2022,1,quarta-feira,3,False,ES,Sudeste,6,3,1,2,6,0.5
2022-01-19,2022,1,quarta-feira,3,False,GO,Centro-Oeste,10,2,1,1,9,0.2
2022-01-19,2022,1,quarta-feira,3,False,MA,Nordeste,4,3,0,9,16,0.75
2022-01-19,2022,1,quarta-feira,3,False,MG,Sudeste,12,3,0,4,16,0.25
2022-01-19,2022,1,quarta-feira,3,False,MS,Centro-Oeste,5,2,0,3,5,0.4
2022-01-19,2022,1,quarta-feira,3,False,MT,Centro-Oeste,2,1,0,1,1,0.5
2022-01-19,2022,1,quarta-feira,3,False,PB,Nordeste,3,1,0,1,4,0.333333
2022-01-19,2022,1,quarta-feira,3,False,PE,Nordeste,3,1,1,0,4,0.333333
2022-01-19,2022,1,quarta-feira,3,False,PI,Nordeste,1,1,0,1,2,1.0
2022-01-19,2022,1,quarta-feira,3,False,PR,Sul,14,2,0,2,10,0.142857
2022-01-19,2022,1,quarta-feira,3,False,RJ,Sudeste,14,5,0,5,20,0.357143
2022-01-19,2022,1,quarta-feira,3,False,RN,Nordeste,2,0,0,0,2,0.0
2022-01-19,2022,1,quarta-feira,3,False,RO,Norte,4,1,0,1,4,0.25
2022-01-19,2022,1,quarta-feira,3,False,RS,Sul,9,1,1,1,10,0.111111
2022-01-19,2022,1,quarta-feira,3,False,SC,Sul,20,4,0,7,30,0.2
2022-01-19,2022,1,quarta-feira,3,False,SP,Sudeste,6,2,0,2,7,0.333333
2022-01-19,2022,1,quarta-feira,3,False,TO,Norte,3,0,0,0,1,0.0
2022-01-20,2022,1,quinta-feira,4,False,AL,Nordeste,1,1,0,1,1,1.0
2022-01-20,2022,1,quinta-feira,4,False,AP,Norte,1,0,0,0,1,0.0
2022-01-20,2022,1,quinta-feira,4,False,BA,Nordeste,11,1,1,0,12,0.090909
2022-01-20,2022,1,quinta-feira,4,False,CE,Nordeste,3,1,1,0,4,0.333333
2022-01-20,2022,1,quinta-feira,4,False,DF,Centro-Oeste,2,0,0,0,2,0.0
2022-01-20,2022,1,quinta-feira,4,False,ES,Sudeste,1,1,0,1,1,1.0
2022-01-20,2022,1,quinta-feira,4,False,GO,Centro-Oeste,10,2,0,2,10,0.2
2022-01-20,2022,1,quinta-feira,4,False,MA,Nordeste,1,0,0,0,1,0.0
2022-01-20,2022,1,quinta-feira,4,False,MG,Sudeste,17,3,0,3,21,0.176471
2022-01-20,2022,1,quinta-feira,4,False,MS,Centro-Oeste,2,2,1,1,3,1.0
2022-01-20,2022,1,quinta-feira,4,False,MT,Centro-Oeste,5,2,0,2,4,0.4
2022-01-20,2022,1,quinta-feira,4,False,PA,Norte,2,0,0,0,1,0.0
2022-01-20,2022,1,quinta-feira,4,False,PB,Nordeste,6,2,1,1,6,0.333333
2022-01-20,2022,1,quinta-feira,4,False,PE,Nordeste,8,3,0,4,8,0.375
2022-01-20,2022,1,quinta-feira,4,False,PI,Nordeste,2,2,2,1,4,1.0
2022-01-20,2022,1,quinta-feira,4,False,PR,Sul,17,4,1,5,21,0.235294
2022-01-20,2022,1,quinta-feira,4,False,RJ,Sudeste,6,3,1,2,5,0.5
2022-01-20,2022,1,quinta-feira,4,False,RN,Nordeste,3,0,0,0,2,0.0
2022-01-20,2022,1,quinta-feira,4,False,RO,Norte,2,0,0,0,2,0.0
2022-01-20,2022,1,quinta-feira,4,False,RR,Norte,1,0,0,0,1,0.0
2022-01-20,2022,1,quinta-feira,4,False,RS,Sul,9,3,0,3,10,0.333333
2022-01-20,2022,1,quinta-feira,4,False,SC,Sul,22,3,0,3,19,0.136364
2022-01-20,2022,1,quinta-feira,4,False,SP,Sudeste,13,2,0,2,17,0.153846
2022-01-20,2022,1,quinta-feira,4,False,TO,Norte,2,0,0,0,2,0.0
2022-01-21,2022,1,sexta-feira,5,False,AP,Norte,1,0,0,0,0,0.0
2022-01-21,2022,1,sexta-feira,5,False,BA,Nordeste,13,5,3,4,14,0.384615
2022-01-21,2022,1,sexta-feira,5,False,CE,Nordeste,3,1,0,1,3,0.333333
2022-01-21,2022,1,sexta-feira,5,False,DF,Centro-Oeste,2,1,0,2,3,0.5
2022-01-21,2022,1,sexta-feira,5,False,ES,Sudeste,8,2,0,2,14,0.25
2022-01-21,2022,1,sexta-feira,5,False,GO,Centro-Oeste,10,2,2,1,17,0.2
2022-01-21,2022,1,sexta-feira,5,False,MA,Nordeste,4,3,1,4,13,0.75
2022-01-21,2022,1,sexta-feira,5,False,MG,Sudeste,18,7,2,6,27,0.388889
2022-01-21,2022,1,sexta-feira,5,False,MS,Centro-Oeste,4,1,0,1,5,0.25
2022-01-21,2022,1,sexta-feira,5,False,MT,Centro-Oeste,4,0,0,0,3,0.0
2022-01-21,2022,1,sexta-feira,5,False,PA,Norte,1,0,0,0,0,0.0
2022-01-21,2022,1,sexta-feira,5,False,PB,Nordeste,7,2,0,3,5,0.285714
2022-01-21,2022,1,sexta-feira,5,False,PE,Nordeste,7,2,1,1,7,0.285714
2022-01-21,2022,1,sexta-feira,5,False,PI,Nordeste,7,2,0,3,8,0.285714
2022-01-21,2022,1,sexta-feira,5,False,PR,Sul,18,7,4,4,24,0.388889
2022-01-21,2022,1,sexta-feira,5,False,RJ,Sudeste,10,1,0,1,10,0.1
